customer_id,monthly_usage_hours,tenure_months,support_tickets,subscription_type,churn
1,18.2,55,1,Premium,0
2,23.3,31,1,Basic,0
3,31.6,25,0,Basic,0
4,1.9,54,1,Premium,0
5,19.3,28,2,Standard,0
6,29.3,54,0,Basic,0
7,11.4,3,1,Basic,1
8,12.5,28,0,Premium,0
9,24.6,22,1,Standard,1
10,21.0,33,1,Standard,0
11,19.8,52,0,Standard,0
12,27.8,56,1,Premium,0
13,3.1,44,1,Basic,1
14,13.6,42,2,Standard,0
15,2.8,36,2,Basic,1
16,17.4,24,2,Standard,0
17,43.5,49,5,Basic,1
18,17.7,10,2,Standard,1
19,6.7,55,2,Standard,0
20,29.5,3,1,Standard,0
21,14.5,56,1,Basic,0
22,118.4,37,1,Basic,0
23,4.4,12,2,Standard,1
24,46.9,27,2,Basic,1
25,59.7,2,2,Basic,0
26,8.9,41,1,Basic,1
27,6.7,23,3,Standard,0
28,35.0,18,1,Standard,1
29,4.7,16,1,Basic,1
30,8.3,32,2,Premium,1
31,7.9,2,2,Premium,1
32,18.5,51,2,Basic,0
33,37.1,35,3,Basic,1
34,18.8,9,3,Premium,0
35,33.9,24,1,Premium,0
36,49.6,20,3,Standard,1
37,29.5,21,2,Standard,0
38,9.0,45,1,Basic,1
39,42.5,12,2,Basic,0
40,17.9,57,5,Standard,1
41,15.3,4,0,Basic,0
42,4.2,20,2,Basic,0
43,8.6,13,1,Basic,0
44,18.1,12,2,Standard,1
45,16.1,27,5,Standard,1
46,18.3,48,1,Basic,0
47,29.0,27,1,Premium,0
48,3.9,44,1,Basic,1
49,37.6,19,1,Basic,0
50,13.9,6,1,Standard,0
51,25.1,12,1,Premium,0
52,14.3,21,2,Standard,1
53,8.6,31,2,Standard,1
54,21.4,42,0,Basic,1
55,66.1,27,1,Basic,0
56,17.3,56,2,Basic,0
57,23.3,34,4,Standard,0
58,16.0,10,1,Standard,0
59,15.4,44,1,Basic,0
60,14.8,44,1,Basic,0
61,8.0,12,1,Standard,0
62,14.1,32,2,Basic,1
63,29.9,8,2,Basic,1
64,15.8,55,2,Basic,0
65,37.3,5,2,Basic,0
66,29.5,11,3,Basic,1
67,27.8,23,1,Basic,0
68,9.4,5,2,Standard,0
69,5.4,44,0,Basic,0
70,12.2,12,3,Standard,0
71,18.5,22,1,Standard,0
72,11.7,25,1,Standard,1
73,12.9,50,2,Premium,0
74,22.5,48,1,Basic,0
75,19.6,2,2,Basic,0
76,11.1,21,3,Premium,1
77,6.7,29,0,Standard,0
78,17.2,29,3,Standard,1
79,32.8,20,1,Standard,0
80,56.2,10,2,Basic,0
81,25.2,32,2,Basic,0
82,11.5,7,2,Basic,1
83,17.8,58,3,Standard,0
84,14.4,29,2,Basic,0
85,9.8,50,1,Premium,0
86,2.6,18,0,Standard,0
87,10.2,3,2,Basic,0
88,9.7,31,0,Basic,1
89,13.5,6,0,Premium,0
90,12.6,13,0,Basic,0
91,29.0,24,2,Premium,0
92,33.9,25,4,Basic,0
93,18.9,42,2,Basic,1
94,39.6,7,3,Standard,0
95,34.5,16,5,Basic,1
96,27.4,47,3,Basic,0
97,26.5,49,1,Basic,0
98,1.2,43,0,Standard,0
99,26.4,37,2,Standard,0
100,43.9,46,1,Basic,0
101,20.1,45,3,Standard,0
102,27.0,48,2,Basic,0
103,36.2,5,0,Standard,0
104,57.4,14,0,Basic,0
105,10.5,25,1,Basic,1
106,8.6,18,3,Basic,1
107,18.2,5,5,Premium,1
108,28.4,42,1,Premium,0
109,15.0,41,4,Standard,0
110,30.6,7,4,Basic,1
111,9.8,38,0,Basic,1
112,18.3,31,1,Basic,0
113,17.4,12,1,Basic,0
114,16.1,9,1,Standard,0
115,6.5,45,0,Standard,0
116,26.4,35,3,Standard,1
117,15.3,46,2,Basic,1
118,23.2,19,1,Basic,0
119,20.4,25,2,Basic,1
120,21.3,45,1,Basic,0
121,23.1,17,2,Standard,0
122,43.3,59,0,Standard,0
123,7.3,47,2,Basic,0
124,22.0,20,2,Standard,0
125,28.2,42,4,Basic,1
126,35.9,30,1,Basic,0
127,47.9,15,1,Basic,0
128,28.3,40,1,Basic,0
129,52.5,39,1,Basic,0
130,22.7,2,2,Premium,1
131,10.6,25,2,Standard,0
132,11.2,22,2,Premium,0
133,4.5,52,1,Basic,0
134,11.0,56,1,Basic,1
135,5.8,34,1,Standard,0
136,7.9,46,1,Basic,1
137,13.2,60,2,Standard,0
138,19.0,32,1,Basic,0
139,30.4,44,2,Basic,0
140,15.9,6,2,Premium,0
141,18.0,10,1,Standard,1
142,44.3,14,1,Standard,0
143,75.1,16,2,Premium,0
144,25.3,28,0,Basic,0
145,28.7,47,1,Premium,0
146,23.5,42,1,Premium,0
147,15.1,1,1,Standard,0
148,30.8,47,2,Standard,0
149,22.3,59,3,Basic,0
150,4.3,9,0,Standard,1
151,16.2,51,3,Basic,1
152,5.2,30,3,Basic,1
153,4.6,2,1,Basic,1
154,17.2,56,3,Basic,1
155,8.7,52,1,Basic,0
156,84.1,38,2,Basic,0
157,19.3,9,2,Standard,0
158,21.4,30,0,Basic,0
159,31.6,7,2,Basic,1
160,50.0,19,5,Standard,0
161,53.2,35,2,Standard,0
162,41.4,15,1,Basic,0
163,12.0,32,1,Basic,1
164,14.2,12,2,Premium,1
165,43.6,11,1,Basic,1
166,34.4,27,1,Standard,0
167,24.1,47,2,Premium,0
168,19.3,45,1,Basic,0
169,7.7,5,3,Premium,1
170,19.4,4,0,Basic,1
171,57.4,41,2,Basic,0
172,24.6,1,1,Premium,1
173,24.5,12,1,Basic,1
174,68.7,17,2,Premium,0
175,61.0,55,3,Basic,0
176,15.7,54,5,Basic,1
177,14.4,29,0,Premium,0
178,35.5,53,7,Premium,0
179,10.1,3,5,Basic,1
180,25.1,10,1,Basic,1
181,3.1,34,4,Standard,1
182,41.6,50,2,Standard,0
183,22.9,54,0,Premium,0
184,8.6,54,2,Basic,0
185,13.8,10,0,Premium,0
186,12.5,34,1,Basic,1
187,28.9,42,2,Premium,0
188,14.5,10,0,Basic,0
189,18.1,44,1,Premium,0
190,9.9,43,0,Basic,0
191,9.9,30,2,Standard,0
192,9.0,31,3,Standard,0
193,7.9,25,6,Basic,1
194,19.1,41,3,Standard,1
195,29.8,13,2,Basic,0
196,30.3,34,1,Premium,0
197,52.5,48,1,Standard,0
198,10.8,57,1,Basic,0
199,13.7,8,0,Basic,1
200,8.9,46,3,Basic,1
201,12.6,52,2,Basic,0
202,13.4,25,1,Standard,0
203,55.5,21,1,Standard,0
204,15.0,52,2,Premium,0
205,12.9,50,0,Premium,0
206,55.0,48,2,Basic,0
207,46.1,55,3,Basic,0
208,16.6,47,0,Basic,1
209,6.0,18,1,Standard,1
210,6.4,31,2,Standard,1
211,14.6,60,1,Basic,1
212,17.5,55,1,Standard,0
213,12.3,42,4,Basic,1
214,2.7,32,1,Basic,1
215,5.1,22,1,Basic,1
216,9.1,30,2,Basic,0
217,8.3,17,1,Basic,1
218,14.4,29,0,Basic,1
219,30.4,28,0,Standard,0
220,9.7,59,0,Premium,0
221,54.8,4,0,Basic,0
222,18.1,19,1,Standard,1
223,62.6,42,0,Basic,0
224,19.9,35,3,Standard,0
225,6.0,21,3,Basic,1
226,21.6,26,1,Premium,0
227,18.1,1,2,Standard,1
228,19.1,17,0,Standard,1
229,39.0,52,0,Standard,0
230,11.9,13,2,Premium,0
231,19.9,37,1,Basic,1
232,8.1,17,2,Basic,1
233,29.6,16,3,Standard,1
234,6.6,7,0,Standard,1
235,29.9,56,2,Basic,0
236,11.5,47,0,Premium,0
237,4.8,1,3,Standard,1
238,44.8,12,0,Basic,0
239,61.9,11,0,Basic,0
240,24.3,20,2,Standard,0
241,32.4,27,1,Basic,0
242,29.6,50,3,Basic,0
243,13.9,49,2,Standard,0
244,6.9,49,3,Premium,1
245,28.7,1,3,Basic,0
246,52.6,19,1,Basic,0
247,48.6,17,3,Standard,0
248,19.1,33,3,Standard,1
249,12.6,50,2,Standard,0
250,19.9,44,3,Basic,1
251,22.9,53,0,Standard,0
252,51.5,29,0,Basic,0
253,11.4,23,0,Premium,0
254,15.0,58,2,Basic,1
255,12.2,58,4,Standard,0
256,13.0,25,0,Basic,0
257,9.5,23,1,Basic,1
258,24.9,8,4,Basic,1
259,43.1,18,2,Standard,0
260,12.5,47,1,Basic,0
261,10.5,7,2,Premium,1
262,25.5,43,0,Standard,0
263,13.2,36,0,Standard,1
264,17.5,46,1,Basic,0
265,5.6,55,1,Premium,0
266,3.0,41,3,Premium,0
267,21.0,42,0,Premium,0
268,14.4,31,2,Standard,1
269,19.9,13,1,Standard,0
270,37.3,41,0,Standard,0
271,5.3,24,3,Basic,1
272,45.4,25,4,Standard,0
273,21.8,35,2,Standard,0
274,55.4,45,3,Standard,0
275,24.1,5,1,Basic,0
276,23.6,40,1,Premium,0
277,5.0,42,2,Basic,1
278,11.6,23,0,Standard,0
279,12.2,57,2,Basic,0
280,18.4,58,3,Standard,1
281,8.4,41,1,Standard,1
282,7.9,15,0,Basic,1
283,35.1,38,0,Basic,1
284,18.4,28,1,Basic,1
285,22.8,32,1,Basic,0
286,13.9,30,2,Standard,0
287,64.1,54,1,Standard,0
288,7.9,21,3,Standard,0
289,4.2,48,1,Basic,0
290,30.1,7,4,Standard,0
291,21.3,29,1,Premium,0
292,5.7,30,6,Standard,1
293,71.3,24,1,Standard,0
294,21.9,19,2,Standard,0
295,11.0,47,3,Basic,0
296,25.7,58,1,Standard,0
297,7.6,30,4,Premium,0
298,36.2,44,1,Standard,0
299,7.3,32,0,Basic,0
300,33.2,5,0,Basic,0
301,14.0,9,2,Standard,1
302,13.8,42,1,Basic,0
303,16.2,48,2,Standard,0
304,15.4,26,1,Basic,0
305,26.4,33,1,Basic,0
306,4.4,57,2,Premium,0
307,4.4,15,1,Basic,1
308,3.1,7,2,Standard,1
309,1.6,22,2,Basic,0
310,56.1,6,2,Basic,0
311,7.6,21,2,Premium,1
312,10.6,34,3,Basic,1
313,24.5,11,2,Standard,0
314,28.0,32,0,Basic,0
315,16.8,42,2,Standard,0
316,43.6,42,1,Standard,0
317,24.9,28,3,Premium,0
318,40.7,44,2,Basic,0
319,8.4,45,1,Basic,1
320,4.7,39,1,Standard,0
321,30.8,39,2,Basic,1
322,3.5,6,2,Basic,1
323,10.1,50,0,Basic,0
324,34.9,33,3,Basic,0
325,43.2,20,2,Standard,0
326,43.8,49,1,Basic,0
327,9.1,44,2,Standard,0
328,16.3,55,1,Basic,0
329,33.3,18,1,Standard,0
330,10.6,36,3,Basic,0
331,10.3,42,2,Basic,0
332,25.0,41,3,Standard,0
333,5.7,24,0,Basic,0
334,18.1,22,4,Standard,0
335,8.1,26,1,Basic,1
336,32.0,51,1,Basic,0
337,6.5,11,4,Basic,1
338,40.1,53,0,Basic,0
339,14.7,3,3,Standard,1
340,10.3,49,0,Basic,0
341,18.8,14,1,Basic,1
342,16.0,28,3,Basic,1
343,36.7,3,1,Basic,0
344,35.9,8,0,Basic,0
345,27.5,54,6,Basic,1
346,2.8,23,0,Standard,1
347,29.8,27,3,Premium,0
348,25.6,44,1,Basic,1
349,31.9,48,4,Standard,0
350,20.6,5,3,Basic,1
351,26.8,47,0,Basic,1
352,13.5,37,1,Basic,0
353,32.7,55,1,Standard,0
354,33.0,57,1,Premium,0
355,53.8,34,0,Basic,0
356,38.2,11,2,Standard,0
357,10.6,56,1,Basic,0
358,20.3,26,2,Standard,1
359,17.0,30,1,Basic,1
360,9.5,30,3,Basic,0
361,11.0,38,3,Standard,0
362,20.7,2,2,Basic,1
363,2.5,5,0,Basic,0
364,95.3,55,1,Basic,0
365,20.9,2,0,Premium,0
366,14.0,55,1,Premium,0
367,39.3,17,3,Basic,1
368,4.4,34,0,Basic,0
369,7.4,55,2,Basic,0
370,8.0,25,1,Basic,0
371,23.8,25,2,Standard,0
372,9.4,40,4,Standard,0
373,9.8,2,1,Premium,0
374,9.1,60,1,Standard,0
375,19.8,39,0,Standard,0
376,26.0,21,1,Basic,0
377,9.6,19,1,Standard,1
378,11.3,47,3,Standard,0
379,36.7,48,2,Basic,0
380,6.6,7,0,Basic,0
381,62.8,34,3,Basic,0
382,21.9,53,3,Standard,0
383,26.4,55,6,Basic,0
384,21.2,43,2,Basic,1
385,5.6,37,0,Standard,0
386,7.2,34,0,Basic,1
387,15.5,12,0,Standard,1
388,15.3,38,0,Basic,0
389,8.6,27,1,Basic,0
390,49.7,37,0,Basic,0
391,11.9,17,0,Standard,0
392,8.3,12,3,Standard,1
393,30.7,44,2,Premium,0
394,14.4,11,3,Basic,0
395,1.7,41,0,Basic,1
396,61.1,16,2,Basic,0
397,7.6,3,0,Standard,0
398,52.4,8,1,Basic,0
399,9.5,19,3,Standard,0
400,11.6,27,1,Basic,0
401,25.2,43,2,Standard,0
402,10.4,48,1,Basic,0
403,22.0,53,4,Standard,0
404,35.4,6,1,Premium,0
405,34.8,30,0,Basic,0
406,29.0,31,3,Basic,0
407,7.6,48,2,Basic,0
408,24.0,37,2,Standard,0
409,18.5,15,2,Basic,1
410,22.9,45,2,Basic,1
411,3.3,37,1,Basic,1
412,21.4,60,1,Basic,0
413,17.2,8,1,Basic,1
414,24.2,51,2,Standard,0
415,2.7,29,5,Standard,1
416,4.8,3,2,Standard,1
417,11.9,52,1,Basic,0
418,28.4,29,3,Standard,1
419,6.4,31,3,Premium,0
420,12.4,40,1,Basic,1
421,18.1,56,3,Premium,0
422,11.8,37,6,Basic,1
423,0.6,18,0,Standard,0
424,30.6,39,1,Basic,0
425,26.7,6,1,Basic,1
426,13.3,14,2,Premium,0
427,10.2,5,1,Basic,0
428,23.6,27,1,Standard,0
429,17.9,28,2,Standard,1
430,14.7,44,0,Basic,0
431,18.8,10,3,Basic,1
432,28.5,40,2,Basic,0
433,47.4,23,0,Standard,0
434,60.1,59,1,Basic,0
435,31.1,7,0,Standard,0
436,9.0,52,2,Basic,0
437,23.3,30,1,Standard,0
438,65.1,49,2,Standard,0
439,12.6,6,1,Basic,1
440,21.3,23,1,Basic,0
441,13.6,38,0,Basic,0
442,15.6,18,3,Basic,0
443,26.6,24,3,Basic,0
444,17.8,18,1,Premium,1
445,22.3,15,2,Basic,0
446,8.9,48,2,Standard,0
447,23.6,56,0,Standard,0
448,3.5,3,0,Standard,1
449,23.4,42,0,Standard,0
450,25.6,21,2,Basic,0
451,23.0,58,0,Basic,0
452,42.6,17,0,Premium,0
453,13.0,15,3,Basic,0
454,19.4,3,3,Basic,1
455,4.6,21,3,Basic,1
456,15.9,8,0,Basic,0
457,10.2,38,2,Basic,1
458,15.2,28,2,Basic,1
459,34.3,49,4,Standard,0
460,27.6,31,1,Standard,0
461,6.8,25,1,Standard,0
462,13.1,29,2,Basic,1
463,1.6,60,1,Basic,0
464,6.5,22,1,Standard,0
465,6.5,1,1,Basic,1
466,11.1,59,3,Standard,0
467,30.4,43,3,Basic,0
468,12.4,14,2,Standard,1
469,10.3,20,2,Basic,1
470,50.0,48,1,Standard,0
471,23.9,48,1,Basic,1
472,10.3,47,1,Basic,0
473,74.9,15,0,Basic,0
474,50.1,26,0,Standard,0
475,43.4,49,2,Standard,0
476,14.9,37,0,Premium,0
477,28.6,1,1,Standard,1
478,23.2,2,0,Basic,0
479,11.6,11,4,Standard,1
480,9.8,17,2,Basic,1
481,7.7,12,2,Standard,1
482,35.2,26,3,Basic,0
483,21.2,25,1,Basic,1
484,1.1,29,0,Basic,1
485,19.6,32,2,Standard,0
486,3.6,42,0,Basic,1
487,39.9,31,0,Standard,0
488,12.9,2,3,Basic,1
489,21.1,17,2,Basic,0
490,19.7,27,2,Premium,0
491,15.8,43,2,Standard,0
492,23.3,4,2,Basic,1
493,6.8,4,1,Basic,1
494,28.4,40,2,Premium,1
495,8.7,45,6,Basic,0
496,7.4,55,1,Standard,0
497,21.7,42,0,Premium,0
498,12.3,21,2,Standard,1
499,65.5,26,2,Standard,0
500,10.3,2,0,Standard,0
501,56.0,15,1,Premium,0
502,5.4,32,1,Basic,1
503,24.6,21,3,Standard,0
504,16.2,34,3,Basic,0
505,35.9,41,2,Basic,0
506,85.1,30,2,Standard,0
507,7.5,32,1,Standard,0
508,16.9,26,2,Basic,1
509,45.8,58,6,Basic,0
510,13.3,51,1,Premium,0
511,13.4,39,1,Basic,0
512,27.8,47,1,Basic,0
513,25.0,17,1,Basic,0
514,34.9,36,2,Basic,0
515,50.6,38,0,Standard,1
516,40.5,19,0,Basic,0
517,23.9,51,3,Standard,0
518,11.5,48,3,Basic,1
519,22.6,2,0,Basic,0
520,18.3,21,1,Standard,0
521,12.0,43,0,Standard,0
522,12.5,18,1,Standard,0
523,12.1,24,3,Standard,1
524,22.8,32,1,Standard,1
525,28.1,2,1,Basic,1
526,64.8,52,1,Basic,0
527,23.8,41,1,Basic,0
528,19.7,59,2,Basic,1
529,29.4,19,0,Standard,0
530,17.2,48,1,Basic,0
531,4.0,18,3,Standard,1
532,25.3,17,2,Basic,1
533,1.7,59,1,Premium,0
534,46.4,16,1,Standard,0
535,26.9,6,3,Standard,1
536,42.9,44,0,Standard,0
537,35.0,54,1,Basic,0
538,33.2,2,2,Premium,0
539,4.9,18,2,Basic,1
540,11.5,52,1,Basic,1
541,33.0,22,1,Premium,0
542,50.8,25,1,Standard,0
543,18.7,38,2,Standard,0
544,37.8,25,3,Standard,0
545,17.7,11,0,Basic,1
546,24.3,28,0,Basic,0
547,5.7,35,0,Standard,0
548,30.1,40,1,Basic,1
549,34.2,5,1,Standard,0
550,6.8,15,1,Basic,1
551,34.2,48,1,Standard,1
552,28.2,47,2,Basic,0
553,13.9,12,1,Premium,1
554,45.2,47,1,Basic,0
555,22.2,6,5,Standard,0
556,13.6,51,1,Basic,0
557,21.9,35,2,Premium,0
558,6.6,8,1,Basic,1
559,16.7,3,3,Premium,0
560,7.4,16,3,Standard,1
561,6.5,45,1,Standard,0
562,4.2,55,0,Basic,0
563,55.2,35,2,Standard,0
564,13.7,1,1,Basic,1
565,21.7,42,2,Premium,0
566,7.0,21,1,Premium,1
567,11.1,50,4,Basic,1
568,3.8,1,1,Premium,1
569,9.3,14,2,Basic,0
570,20.9,8,2,Basic,0
571,26.5,18,0,Standard,0
572,39.4,34,1,Premium,0
573,15.5,59,1,Standard,1
574,2.6,60,2,Basic,0
575,3.2,10,1,Standard,0
576,12.8,20,0,Basic,1
577,13.3,57,2,Basic,1
578,62.7,27,0,Basic,0
579,54.4,56,0,Basic,0
580,22.0,55,1,Basic,0
581,3.9,42,0,Basic,0
582,15.8,7,1,Standard,1
583,30.8,37,0,Basic,0
584,19.4,22,1,Basic,0
585,23.8,59,1,Standard,0
586,34.7,41,1,Basic,0
587,17.4,23,1,Standard,0
588,16.5,17,0,Standard,0
589,45.3,26,4,Standard,0
590,6.8,34,2,Basic,1
591,15.9,12,2,Standard,0
592,9.7,28,5,Standard,1
593,5.2,47,2,Standard,0
594,3.1,42,3,Basic,1
595,34.8,11,5,Basic,1
596,11.7,55,1,Standard,0
597,14.6,25,2,Basic,0
598,20.2,27,1,Basic,0
599,29.0,11,2,Standard,0
600,13.9,2,4,Basic,1
601,25.6,41,2,Basic,0
602,56.2,49,1,Basic,0
603,27.1,56,2,Standard,1
604,26.7,6,2,Basic,1
605,71.4,35,0,Basic,0
606,38.3,52,2,Basic,0
607,15.8,23,2,Standard,0
608,3.2,57,6,Basic,0
609,10.0,31,1,Standard,0
610,9.0,57,1,Standard,0
611,32.7,1,3,Premium,0
612,33.6,55,1,Basic,0
613,55.8,46,0,Standard,0
614,11.7,40,3,Standard,1
615,25.0,54,1,Standard,0
616,11.8,18,3,Basic,1
617,24.5,54,1,Basic,0
618,8.7,58,0,Standard,0
619,40.6,5,1,Basic,1
620,41.1,35,2,Premium,0
621,27.5,22,3,Basic,0
622,14.4,50,3,Standard,0
623,15.3,35,2,Basic,1
624,4.9,47,2,Basic,0
625,10.5,29,2,Basic,1
626,45.0,32,1,Standard,0
627,5.3,45,1,Basic,1
628,27.3,28,0,Basic,0
629,12.8,48,0,Basic,0
630,17.2,51,1,Basic,0
631,41.4,10,1,Standard,0
632,2.6,10,2,Basic,1
633,51.2,52,1,Premium,0
634,29.0,11,2,Standard,0
635,13.7,16,2,Basic,1
636,12.5,37,4,Basic,1
637,15.6,3,0,Basic,1
638,52.6,54,0,Basic,0
639,4.1,26,2,Standard,0
640,9.3,25,2,Basic,1
641,9.2,37,0,Standard,0
642,4.8,3,5,Basic,1
643,30.2,30,2,Standard,0
644,16.4,56,2,Standard,0
645,8.7,45,2,Basic,0
646,7.2,11,2,Basic,1
647,33.5,50,0,Basic,0
648,33.6,6,1,Basic,0
649,14.0,36,4,Basic,1
650,3.3,46,2,Premium,0
651,19.5,11,1,Standard,0
652,15.0,31,1,Standard,0
653,52.9,7,3,Standard,1
654,10.0,11,3,Premium,1
655,11.1,38,0,Premium,1
656,42.3,2,1,Basic,0
657,5.7,9,1,Standard,0
658,24.2,30,0,Premium,0
659,51.0,46,1,Standard,0
660,10.3,21,1,Standard,1
661,20.7,27,0,Standard,1
662,32.9,54,1,Basic,0
663,27.2,54,5,Basic,0
664,23.8,8,2,Standard,0
665,9.9,6,2,Premium,1
666,45.1,14,1,Standard,0
667,10.1,37,0,Standard,0
668,44.0,2,1,Standard,0
669,7.8,51,2,Basic,0
670,24.6,54,1,Standard,0
671,19.2,46,2,Premium,0
672,7.3,38,3,Premium,1
673,16.5,14,0,Basic,0
674,5.2,37,3,Standard,1
675,22.6,15,2,Basic,0
676,36.1,52,5,Basic,0
677,23.0,47,2,Standard,1
678,20.8,54,1,Standard,0
679,43.2,8,1,Standard,0
680,20.0,10,2,Premium,0
681,9.1,47,1,Basic,0
682,38.2,2,0,Basic,1
683,33.5,25,3,Basic,0
684,41.5,59,3,Basic,1
685,5.0,57,2,Basic,0
686,25.7,26,1,Basic,1
687,14.0,15,2,Basic,0
688,50.4,36,1,Basic,0
689,13.2,51,1,Basic,0
690,13.6,44,1,Standard,0
691,24.4,38,1,Basic,1
692,5.8,37,0,Basic,1
693,28.1,56,3,Standard,0
694,21.1,46,2,Basic,0
695,19.3,26,0,Basic,0
696,24.4,42,2,Basic,0
697,13.0,20,1,Basic,0
698,13.2,6,1,Basic,0
699,6.1,59,2,Basic,0
700,12.1,8,3,Standard,0
701,48.5,11,1,Standard,1
702,39.1,57,2,Premium,0
703,56.6,5,3,Standard,0
704,20.0,48,2,Basic,0
705,58.2,35,0,Standard,0
706,31.8,21,2,Basic,0
707,16.2,57,1,Basic,0
708,15.9,35,1,Basic,0
709,22.0,2,0,Basic,1
710,1.7,40,0,Standard,1
711,11.1,22,0,Basic,0
712,10.8,45,2,Basic,0
713,27.0,40,1,Basic,1
714,32.3,3,2,Standard,0
715,9.9,3,0,Basic,0
716,34.5,14,0,Basic,0
717,60.8,13,1,Standard,0
718,30.3,44,2,Premium,0
719,16.3,56,1,Standard,0
720,41.3,30,1,Basic,0
721,31.7,58,0,Basic,0
722,4.0,29,4,Standard,0
723,7.1,41,2,Basic,0
724,28.9,59,1,Standard,0
725,14.2,51,1,Basic,0
726,15.5,15,1,Basic,1
727,10.1,2,1,Standard,0
728,54.1,43,1,Basic,0
729,6.3,20,0,Basic,0
730,18.3,23,5,Standard,1
731,22.8,11,1,Standard,1
732,18.8,37,2,Premium,0
733,61.1,7,3,Standard,0
734,39.6,4,2,Basic,0
735,32.1,38,0,Basic,0
736,16.4,18,3,Basic,1
737,39.6,26,0,Standard,1
738,15.3,29,2,Basic,0
739,2.4,57,3,Basic,1
740,21.5,8,3,Basic,1
741,33.9,2,3,Basic,1
742,0.9,3,2,Standard,1
743,20.6,12,2,Standard,0
744,10.4,17,1,Standard,1
745,8.8,3,0,Premium,0
746,7.0,12,3,Standard,0
747,8.2,32,0,Standard,1
748,20.9,54,1,Standard,0
749,4.3,39,1,Premium,1
750,23.7,6,1,Premium,0
751,23.4,46,0,Standard,0
752,39.4,40,1,Basic,0
753,14.6,33,0,Standard,0
754,41.3,6,0,Standard,0
755,13.2,10,2,Standard,0
756,97.4,23,0,Basic,0
757,40.9,30,2,Standard,0
758,11.7,56,0,Standard,0
759,12.3,58,0,Basic,0
760,33.7,52,3,Premium,0
761,30.6,35,0,Basic,1
762,26.2,58,3,Basic,0
763,46.7,2,3,Standard,1
764,12.6,51,2,Standard,1
765,34.3,38,2,Basic,0
766,39.0,3,0,Standard,0
767,19.4,60,1,Basic,0
768,5.6,55,4,Standard,0
769,1.4,59,2,Premium,0
770,6.4,47,3,Standard,0
771,7.3,16,1,Basic,0
772,39.3,21,1,Basic,0
773,43.7,25,1,Standard,0
774,11.0,39,1,Premium,0
775,17.7,41,2,Standard,0
776,20.5,36,0,Standard,1
777,3.7,38,4,Basic,1
778,4.1,55,2,Basic,1
779,6.3,26,2,Basic,0
780,22.2,7,1,Standard,1
781,19.2,47,1,Basic,0
782,24.9,40,1,Basic,0
783,12.4,7,0,Basic,0
784,33.7,45,0,Basic,0
785,47.9,24,3,Basic,0
786,28.7,24,3,Standard,0
787,8.8,53,3,Standard,1
788,15.6,10,1,Standard,0
789,32.0,3,0,Standard,0
790,3.2,23,3,Basic,1
791,16.0,27,2,Basic,0
792,43.3,33,3,Basic,0
793,4.8,2,0,Basic,0
794,10.3,25,1,Basic,1
795,7.7,37,0,Basic,0
796,75.5,8,1,Basic,0
797,34.3,43,1,Basic,1
798,6.4,37,2,Basic,0
799,58.6,19,2,Premium,0
800,66.2,9,1,Basic,0
801,24.4,45,1,Basic,1
802,11.2,35,2,Standard,1
803,49.7,20,2,Standard,0
804,9.1,54,2,Basic,1
805,13.6,41,0,Premium,0
806,28.4,17,3,Standard,1
807,22.8,5,0,Basic,1
808,48.8,9,0,Basic,0
809,8.7,14,5,Standard,1
810,10.8,34,0,Standard,0
811,17.0,60,0,Standard,0
812,22.8,6,2,Basic,0
813,24.4,13,2,Basic,0
814,51.1,8,0,Premium,0
815,12.0,14,1,Basic,1
816,75.8,32,2,Basic,0
817,36.0,45,1,Basic,0
818,25.0,38,0,Premium,0
819,5.3,41,2,Standard,0
820,23.8,32,1,Basic,0
821,8.4,32,2,Standard,1
822,40.4,21,0,Standard,0
823,12.7,55,2,Basic,1
824,7.9,34,2,Standard,1
825,1.4,23,0,Standard,0
826,4.5,29,2,Premium,0
827,11.0,54,3,Basic,0
828,21.5,51,1,Premium,0
829,33.3,14,2,Premium,0
830,33.0,38,3,Premium,0
831,24.8,1,3,Basic,1
832,64.2,25,1,Basic,0
833,44.9,12,3,Basic,0
834,50.9,36,0,Standard,0
835,6.2,57,0,Basic,0
836,37.4,9,2,Standard,0
837,9.9,59,1,Basic,0
838,12.2,35,0,Standard,1
839,8.7,48,2,Basic,1
840,36.8,21,2,Standard,0
841,15.3,2,2,Basic,1
842,49.1,42,1,Standard,0
843,11.2,60,0,Basic,0
844,19.5,60,1,Basic,0
845,19.3,47,0,Basic,0
846,33.1,14,1,Standard,0
847,20.9,50,2,Basic,0
848,29.0,8,0,Standard,0
849,23.9,32,2,Basic,1
850,12.5,56,1,Basic,0
851,44.9,11,0,Basic,0
852,5.7,60,2,Standard,1
853,25.9,45,3,Premium,0
854,11.1,36,3,Standard,0
855,24.0,56,4,Basic,1
856,48.7,57,1,Premium,0
857,20.3,11,1,Basic,0
